subject,block,trial,mu1,mu2,choice,reward,RT
3,20,8,5,-6,1,5,245
3,20,9,5,-6,1,7,252
3,20,10,5,-6,1,4,237
4,1,1,3,4,1,4,1135
4,1,2,3,4,1,2,742
4,1,3,3,4,2,4,609
4,1,4,3,4,2,3,412
4,1,5,3,4,2,3,541
4,1,6,3,4,2,5,431
4,1,7,3,4,2,3,482
4,1,8,3,4,1,3,393
4,1,9,3,4,2,4,391
4,1,10,3,4,2,3,391
4,2,1,-2,-1,1,-2,611
4,2,2,-2,-1,2,-1,350
4,2,3,-2,-1,2,-2,544
4,2,4,-2,-1,2,0,403
4,2,5,-2,-1,2,-1,550
4,2,6,-2,-1,1,-3,1066
4,2,7,-2,-1,1,-1,367
4,2,8,-2,-1,1,-1,485
4,2,9,-2,-1,1,-1,520
4,2,10,-2,-1,2,-1,760
4,3,1,7,8,1,8,1119
4,3,2,7,8,1,5,377
4,3,3,7,8,1,8,478
4,3,4,7,8,1,8,446
4,3,5,7,8,1,6,470
4,3,6,7,8,2,8,607
4,3,7,7,8,2,8,697
4,3,8,7,8,2,8,447
4,3,9,7,8,2,7,415
4,3,10,7,8,2,8,399
4,4,1,-6,5,2,4,479
4,4,2,-6,5,1,-6,407
4,4,3,-6,5,2,7,489
4,4,4,-6,5,2,5,435
4,4,5,-6,5,2,5,788
4,4,6,-6,5,2,4,385
4,4,7,-6,5,2,4,535
4,4,8,-6,5,2,4,444
4,4,9,-6,5,2,6,412
4,4,10,-6,5,2,5,423
4,5,1,-5,-4,1,-4,1313
4,5,2,-5,-4,2,-4,356
4,5,3,-5,-4,1,-5,650
4,5,4,-5,-4,2,-4,1082
4,5,5,-5,-4,2,-2,523
4,5,6,-5,-4,2,-4,389
4,5,7,-5,-4,2,-4,1051
4,5,8,-5,-4,2,-6,352
4,5,9,-5,-4,2,-4,612
4,5,10,-5,-4,2,-4,348
4,6,1,-9,15,1,-9,913
4,6,2,-9,15,2,14,379
4,6,3,-9,15,2,16,384
4,6,4,-9,15,2,16,391
4,6,5,-9,15,2,14,420
4,6,6,-9,15,2,15,545
4,6,7,-9,15,2,14,376
4,6,8,-9,15,2,14,349
4,6,9,-9,15,2,16,389
4,6,10,-9,15,2,16,387
4,7,1,6,16,2,14,600
4,7,2,6,16,2,15,354
4,7,3,6,16,2,16,355
4,7,4,6,16,2,16,380
4,7,5,6,16,2,17,367
4,7,6,6,16,2,16,490
4,7,7,6,16,2,16,384
4,7,8,6,16,2,15,391
4,7,9,6,16,2,18,370
4,7,10,6,16,2,15,374
4,8,1,-3,-4,1,-4,367
4,8,2,-3,-4,2,-3,542
4,8,3,-3,-4,2,-4,529
4,8,4,-3,-4,2,-2,474
4,8,5,-3,-4,2,-4,393
4,8,6,-3,-4,1,-2,519
4,8,7,-3,-4,1,-3,998
4,8,8,-3,-4,1,-4,411
4,8,9,-3,-4,2,-3,387
4,8,10,-3,-4,2,-5,435
4,9,1,9,-5,1,9,1241
4,9,2,9,-5,1,8,1121
4,9,3,9,-5,1,10,332
